ABW.cif
19.746	10.508	17.54	90.0	90.0	90.0
189	O137	0.65502	0.75000	0.25000	O
190	O138	0.90499	1.00000	0.50000	O
191	O139	0.84498	0.75000	0.25000	O
192	O140	0.59501	1.00000	0.50000	O
193	O141	0.75003	0.87505	0.32383	O
194	O142	0.84498	1.00000	0.25000	O
195	SI53	0.82862	0.87505	0.29966	SI
196	O143	0.59501	0.75000	0.00000	O
197	SI54	0.57860	0.62505	0.04966	SI
198	O144	0.65502	1.00000	0.25000	O
199	SI55	0.67143	0.87505	0.29966	SI
200	O145	1.00000	0.62505	0.07383	O
201	O146	0.90499	0.75000	0.00000	O
202	SI56	0.92140	0.62505	0.04966	SI
203	O147	0.59501	0.50000	0.00000	O
204	O148	0.90499	0.50000	0.00000	O
205	O149	0.75003	0.62505	0.67617	O
206	O150	0.62499	0.62505	0.62503	O
207	SI57	0.67143	0.62505	0.70034	SI
208	O151	1.00000	0.87505	0.92617	O
209	O152	0.90499	0.75000	1.00000	O
210	O153	0.87501	0.87505	0.87503	O
211	SI58	0.92140	0.87505	0.95034	SI
212	O154	0.87501	0.62505	0.62503	O
213	SI59	0.82862	0.62505	0.70034	SI
214	O155	0.59501	0.75000	1.00000	O
215	O156	0.62499	0.87505	0.87503	O
216	SI60	0.57860	0.87505	0.95034	SI
217	O157	0.65502	0.75000	0.75000	O
218	O158	0.90499	1.00000	1.00000	O
219	O159	0.84498	0.75000	0.75000	O
220	O160	0.59501	1.00000	1.00000	O
221	O161	0.75003	0.87505	0.82383	O
222	O162	0.84498	1.00000	0.75000	O
223	SI61	0.82862	0.87505	0.79966	SI
224	SI62	0.57860	0.62505	0.54966	SI
225	O163	0.65502	1.00000	0.75000	O
226	SI63	0.67143	0.87505	0.79966	SI
227	O164	1.00000	0.62505	0.57383	O
228	SI64	0.92140	0.62505	0.54966	SI
1	11	O1	SI3
1	4	O1	SI1
2	4	O2	SI1
3	4	O3	SI1
3	25	O3	SI6
4	2	SI1	O2
4	3	SI1	O3
4	1	SI1	O1
4	16	SI1	O12
5	132	O4	SI36
5	8	O4	SI2
6	8	O5	SI2
6	60	O5	SI16
7	8	O6	SI2
7	22	O6	SI5
8	6	SI2	O5
8	7	SI2	O6
8	5	SI2	O4
8	17	SI2	O13
9	11	O7	SI3
10	30	O8	SI8
10	11	O8	SI3
11	1	SI3	O1
11	9	SI3	O7
11	10	SI3	O8
11	18	SI3	O14
12	15	O9	SI4
13	15	O10	SI4
13	56	O10	SI14
14	27	O11	SI7
14	15	O11	SI4
15	12	SI4	O9
15	14	SI4	O11
15	13	SI4	O10
15	19	SI4	O15
16	4	O12	SI1
16	27	O12	SI7
17	8	O13	SI2
17	118	O13	SI32
18	11	O14	SI3
18	22	O14	SI5
19	15	O15	SI4
19	114	O15	SI30
20	22	O16	SI5
20	27	O16	SI7
21	22	O17	SI5
21	71	O17	SI19
22	20	SI5	O16
22	18	SI5	O14
22	7	SI5	O6
22	21	SI5	O17
23	25	O18	SI6
24	25	O19	SI6
25	23	SI6	O18
25	31	SI6	O23
25	24	SI6	O19
25	3	SI6	O3
26	27	O20	SI7
26	65	O20	SI17
27	14	SI7	O11
27	16	SI7	O12
27	26	SI7	O20
27	20	SI7	O16
28	141	O21	SI38
28	30	O21	SI8
